date,sales,covers,outside,humidity,precip_intensity_max,precip_max_time,precip_prob,precip_type,pressure,summary,day_of_week,month,closed,sales_per_cover,temp_very_cold,temp_cold,temp_warm,temp_hot,temp_very_hot
2017-05-05,15769.13,214.0,0,0.94,0.3874,02:00PM,0.0,rain,1001.05,cloudy,4,5,0,73.68752336448598,0.0,0.0,0.0,1.0,0.0
2017-05-06,18954.37,276.0,1,0.8,0.0238,03:00AM,0.0,rain,995.32,partly-cloudy-night,5,5,0,68.6752536231884,0.0,0.0,0.0,1.0,0.0
2017-05-07,14938.69,201.0,0,0.69,0.0011,05:00PM,0.0,rain,1006.95,cloudy,6,5,0,74.3218407960199,0.0,0.0,1.0,0.0,0.0
2017-05-08,14801.45,219.0,1,0.44,0.0,05:01AM,0.0,none,1012.29,partly-cloudy-night,0,5,0,67.5865296803653,0.0,0.0,0.0,1.0,0.0
2017-05-09,13469.84,189.0,1,0.57,0.0,05:01AM,0.0,none,1015.09,partly-cloudy-night,1,5,0,71.26899470899471,0.0,0.0,0.0,1.0,0.0
2017-05-10,16527.61,229.0,1,0.6,0.0,05:01AM,0.0,none,1016.43,partly-cloudy-night,2,5,0,72.17296943231442,0.0,0.0,0.0,1.0,0.0
2017-05-11,17848.78,230.0,1,0.6,0.0,05:01AM,0.0,none,1015.62,partly-cloudy-night,3,5,0,77.60339130434782,0.0,0.0,0.0,1.0,0.0
2017-05-12,18747.37,258.0,1,0.67,0.0,05:01AM,0.0,none,1017.01,partly-cloudy-night,4,5,0,72.66422480620155,0.0,0.0,1.0,0.0,0.0
2017-05-13,16634.99,223.0,0,0.93,0.1323,04:00PM,1.0,rain,1008.9,rain,5,5,0,74.5963677130045,0.0,0.0,1.0,0.0,0.0
2017-05-14,17343.57,269.0,1,0.6,0.0123,12:00AM,0.0,rain,1001.45,partly-cloudy-day,6,5,0,64.47423791821561,0.0,0.0,0.0,1.0,0.0
